Joshua Project People Group Data

ROL3,Language,NbrPGICs,NbrCountries,Status,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID
dac,Dambi,1,1,L,1,,,,N,N,
dml,Dameli,10,,L,2,,,,N,N,
dms,Dampelas,1,1,L,2,,,,N,Y,
dnj,Dan,2,2,L,4,,1981-1994,1943-1981,Y,Y,dnj
dnr,Danaru,1,1,L,2,,,,N,N,
dnu,Danau,1,1,L,3,,,2024,N,N,4160
daa,Dangaleat,1,1,L,4,,2012-2013,1998-2002,Y,Y,daa
dhn,Dangi,44,,L,4,,2017-2025,Yes,Y,Y,dhn
ada,Dangme,1,1,L,5,1999,1977-1994,1935-1966,Y,Y,ada
dni,"Dani, Lower Grand Valley",2,1,L,4,,1988-1994,1970-1994,N,Y,dni
dnt,"Dani, Mid Grand Valley",1,1,L,4,,1990,1977-1995,N,N,dnt
dna,"Dani, Upper Grand Valley",1,1,L,4,,1992,1994,N,Y,dna
dnw,"Dani, Western",1,1,L,5,2003-2009,1981,1966,Y,Y,dnw
dan,Danish,17,15,L,5,1528-2015,1550-1989,1488-2016,Y,Y,dan
dsl,"Danish Sign Language",1,1,L,3,,,2013-2025,N,N,
aso,Dano,1,1,L,4,,1989-2013,1969-1994,Y,Y,aso
dnv,Danu,1,1,L,4,,Yes,Yes,N,N,dnv
dhw,Danuwar,2,,L,3,,,1976-2024,N,Y,
dnd,Daonda,1,1,L,1,,,,N,Y,
dry,Darai,1,,L,3,,,1976-2023,N,Y,4003
dar,Dargwa,8,5,L,3,,,2002-2020,Y,N,
prs,Dari,35,25,L,5,2008,1982-1985,1974,Y,Y,prs
gbz,"Dari, Zoroastrian",1,1,N,0,,,,N,Y,
xda,Darkinyung,,,N,0,,,,N,N,
dln,Darlong,1,,L,5,2014,1995,1992-1996,N,Y,
drd,Darmiya,8,,L,3,,,Yes,N,Y,
dot,Dass,1,1,L,3,,,Yes,N,Y,
tcc,Datooga,2,1,L,5,2015-2020,2009,Yes,Y,Y,tcc
dgw,Daungwurrung,,,N,0,,,,N,N,
dta,Daur,4,2,L,3,,,2003,Y,Y,
daw,Davawenyo,1,1,L,2,,,,N,Y,
kwa,Daw,1,1,L,2,,,,N,Y,
dww,Dawawa,1,1,L,4,,2002-2013,1991-1992,N,Y,dww
ddw,Dawera-Daweloor,1,1,L,0,,,,N,N,
dav,Dawida,2,2,L,5,1998,1922-1990,1904-1985,Y,Y,dav
dmk,Dawoodi,2,,N,0,,,,N,N,
dwr,Dawro,2,1,L,5,2018,2009-2018,Yes,Y,Y,dwr
dai,Day,1,1,L,4,,1989-1999,Yes,N,Y,
dax,Dayi,1,1,L,0,,,,N,Y,
dzd,Daza,,,N,0,,,,N,N,
dzg,Dazaga,4,2,L,3,,,2006,Y,Y,
dcc,Deccan,,,L,4,,1867,Yes,Y,Y,
ded,Dedua,1,1,L,4,,2005-2016,1990-2011,N,N,ded
afn,Defaka,,,N,0,,,,N,N,
mzw,Deg,2,2,L,5,2015,1996,1996-2001,Y,Y,mzw
ing,"Deg Xinag",1,1,N,0,,,,N,N,
wsv,Degano,,,N,0,,,,N,N,
deg,Degema,1,1,L,2,,,,N,Y,
dge,Degenang,1,1,L,1,,,,N,Y,
deh,Dehwari,2,,L,2,,,,N,Y,
dek,Dek,1,1,L,0,,,,N,N,
uya,Deko-Dusanga,1,1,L,3,,,2024,N,Y,4308
row,Dela-Oenale,1,1,L,4,,2016-2020,Yes,N,Y,
ntr,Delo,2,2,L,4,,2006-2008,Yes,N,Y,ntr
dem,Dem,1,1,L,2,,,,N,Y,
dmx,Dema,1,1,L,2,,,,N,N,
dei,Demisa,1,1,L,0,,,,N,Y,
ddn,"Dendi (Benin)",3,3,L,4,,1995-2018,Yes,Y,Y,
deq,"Dendi (Central African Republic)",1,1,L,2,,,,N,N,
chp,Dene,1,1,L,4,,1881,1878,Y,Y,
dez,Dengese,1,1,L,2,,,,N,Y,
dnk,Dengka,1,1,L,3,,,2004,N,N,
dny,Deni,1,1,L,3,,,1982-2017,N,Y,
dbb,Deno,1,1,L,0,,,,N,Y,
anv,Denya,1,1,L,4,,2010,1998-2000,N,Y,anv
der,Deori,30,,L,3,,,2018,Y,Y,
kna,Dera,1,1,L,3,,,1937,Y,Y,
des,Desano,2,2,L,4,,1984-2011,1975-1981,N,N,des
dso,Desiya,104,,L,4,,2010-2020,2010,Y,Y,dso
dwz,"Dewas Rai",,,L,3,,,1976-2020,N,Y,4005
dee,Dewoin,1,1,L,3,,,2024,Y,Y,
def,Dezfuli,1,1,N,4,,Yes,Yes,N,Y,
dgh,Dghwede,2,2,L,4,,1980,1976,N,Y,
dhs,Dhaiso,1,1,L,0,,,,N,N,
dhl,Dhalandji,,,N,0,,,,N,N,
dhg,Dhangu-Djangu,1,1,L,3,,,1977-2017,N,Y,dhg
nfa,Dhao,1,1,L,4,,2012,2000-2011,N,Y,nfa
dhr,Dhargari,,,N,0,,,,N,N,
mki,Dhatki,284,,L,4,,2023-2024,Yes,Y,Y,
dhi,Dhimal,3,,L,4,,2017-2025,2000,Y,Y,dhi
dhm,Dhimba,2,2,L,4,,2010-2013,1970-1984,N,Y,dhm
dho,Dhodia,7,,L,3,,,2018,Y,Y,
luo,Dholuo,2,2,L,5,1953-2021,1926,1911-1964,Y,Y,luo
dhd,Dhundari,347,,L,4,,2017,2014,Y,Y,dhd
dhx,Dhungaloo,,,N,0,,,,N,N,
dwu,Dhuwal,1,1,L,2,,,,N,Y,
dwy,Dhuwaya,1,1,L,3,,,2019,N,Y,dwy
dia,Dia,1,1,L,1,,,,N,Y,
dby,Dibiyaso,1,1,L,1,,,,N,Y,
dio,Dibo,1,1,L,2,,,,N,Y,
bvx,Dibole,1,1,L,1,,,,N,N,
dic,"Dida, Lakota",1,1,L,2,,,,N,N,
gud,"Dida, Yocoboue",1,1,L,4,,2013-2014,1930-1985,Y,Y,gud
did,Didinga,1,1,L,4,,2017,1994-2014,Y,Y,did
ddo,Dido,2,2,L,3,,,2000,N,N,
mhu,Digaro-Mishmi,47,,L,3,,,Yes,Y,Y,
dur,Dii,1,1,L,4,,2001,1966,N,Y,dur
dil,Dilling,2,1,N,0,,,,N,Y,
jma,Dima,1,1,L,2,,,,N,Y,
dis,Dimasa,34,,L,4,,2005,1905-1908,Y,Y,dis
dii,Dimbong,1,1,N,0,,,,N,N,
dim,Dime,1,1,L,3,,,2023,Y,Y,
mrx,Dineor,1,1,N,0,,,,N,N,
diz,Ding,1,1,L,2,,,,N,Y,
dip,"Dinka, Northeastern",2,1,L,5,2011,1952,1926-1943,Y,Y,dip
diw,"Dinka, Northwestern",1,1,L,0,,,,N,Y,
dib,"Dinka, South Central",2,1,L,5,2024,Yes,1866-2018,Y,Y,dib
dks,"Dinka, Southeastern",2,2,L,5,2024,1940-2017,1915-2011,N,Y,dks
dik,"Dinka, Southwestern",1,1,L,4,,2006-2011,1993,Y,Y,dik
nzr,Dir-Nyamzak-Mbarimi,1,1,L,2,,,,N,Y,
gdl,Dirasha,1,1,L,3,,,2007-2014,Y,Y,
dir,Dirim,1,1,L,3,,,2000,N,Y,
dwa,Dirya,1,1,N,2,,,,N,Y,
dsi,Disa,1,1,L,1,,,,N,N,
tbz,Ditammari,2,2,L,5,2001-2002,1989,1991,Y,Y,
dtd,Ditidaht,,,N,0,,,,N,Y,
diy,Diuwe,1,1,L,1,,,,N,N,
dix,"Dixon Reef",1,1,L,2,,,,N,N,
dif,Diyari,1,1,N,4,,1897,Yes,N,N,dif
mdx,Dizin,1,1,L,4,,2024,2012,N,N,
dyy,Djabugay,,,N,0,,,,N,N,
tjw,Djabwurrung,,,N,0,,,,N,N,
djr,Djambarrpuyngu,1,1,L,4,,2008,1977–2006,N,Y,djr
djd,Djamindjung,1,1,N,0,,,,N,N,
djn,Djauan,,,N,0,,,,N,Y,
djj,Djeebbana,1,1,L,2,,,,N,N,
dji,Djinang,1,1,L,3,,,1985-1987,N,N,dji
djb,Djinba,1,1,L,2,,,,N,N,
kbv,Dla,2,2,L,2,,,,N,Y,
kvo,Dobel,1,1,L,4,,Yes,1991-2016,N,Y,
dob,Dobu,1,1,L,5,1926-1928,1911-1986,1894-1919,N,Y,dob
doe,Doe,1,1,L,3,,,Yes,N,N,4452
dgg,Doga,1,1,L,2,,,,N,Y,
dgx,Doghoro,1,1,L,3,,,2012,N,Y,
aqd,"Dogon, Ampari",1,1,L,2,,,,N,N,
dti,"Dogon, Ana Tinga",1,1,L,1,,,,N,N,
dbw,"Dogon, Bankan Tey",1,1,L,2,,,,N,N,
dbt,"Dogon, Ben Tey",1,1,L,1,,,,N,N,
dbu,"Dogon, Bondum Dom",1,1,L,2,,,,N,N,
dgb,"Dogon, Bunoge",1,1,L,1,,,,N,N,
dbg,"Dogon, Dogul Dom",1,1,L,2,,,,N,N,
dds,"Dogon, Donno So",1,1,L,4,,1988,Yes,N,N,
djm,"Dogon, Jamsay",1,1,L,3,,,2017,Y,Y,
dmb,"Dogon, Mombo",1,1,L,3,,,2021,Y,N,
nzz,"Dogon, Nanga Dama",1,1,L,2,,,,N,N,
dtu,"Dogon, Tebul Ure",1,1,L,1,,,,N,N,
dtk,"Dogon, Tene Kan",1,1,L,3,,,2024,Y,N,
tde,"Dogon, Tiranige Diga",1,1,L,2,,,,N,N,
dto,"Dogon, Tommo So",1,1,L,3,,,2018,Y,N,
dtm,"Dogon, Tomo Kan",3,3,L,3,,,2019,Y,Y,
dts,"Dogon, Toro So",1,1,L,5,2010,1957-1994,1933-1984,Y,Y,
dtt,"Dogon, Toro Tegu",1,1,L,2,,,,N,N,
dym,"Dogon, Yanda Dom",1,1,L,2,,,,N,N,
dos,Dogose,1,1,L,4,,2017,2004,Y,Y,
dgs,Dogoso,1,1,L,3,,,Yes,N,N,
dgo,Dogri,249,,L,5,2025,1826-2021,1883-1971,Y,Y,dgo
dsk,Dokshi,,,N,2,,,,N,N,
dlg,Dolgan,1,1,L,3,,,1996-2012,N,N,
mhf,Doloman,,,N,0,,,,N,N,
dre,Dolpo,2,,L,4,,2023,Yes,Y,Y,dre
doa,Dom,1,1,L,4,,2016,Yes,N,Y,
rmt,Domari,7,7,L,3,,,Yes,Y,Y,
dov,Dombe,1,1,L,2,,,,N,N,
doq,"Dominican Sign Language",1,1,L,3,,,2019-2026,N,N,
doy,Dompo,1,1,N,0,,,,N,Y,
dof,Domu,1,1,L,2,,,,N,Y,
dev,Domung,1,1,L,2,,,,N,N,
dok,Dondo,1,1,L,1,,,,N,N,
doh,Dong,1,1,L,3,,,Yes,N,N,
doc,"Dong, Northern",1,1,L,3,,,2024,Y,N,
kmc,"Dong, Southern",2,1,L,4,,2006,Yes,Y,Y,
doo,Dongo,1,1,L,3,,,2022,Y,Y,
ddd,Dongotono,1,1,L,1,,,,N,N,
sce,Dongxiang,1,1,L,4,,2024,2024,Y,Y,4039
dde,Doondo,1,1,L,4,,Yes,2014,Y,Y,4451
dor,Dori'o,1,1,L,1,,,,N,Y,
wwo,Dorig,1,1,L,1,,,,N,Y,
kqc,Doromu-Koki,1,1,L,4,,2017,2011,Y,Y,kqc
doz,Dorze,1,1,L,0,,,,N,Y,
dol,Doso,1,1,L,1,,,,N,N,
dty,Dotyali,63,,L,4,,2017-2022,Yes,Y,Y,dty
tds,Doutai,1,1,L,2,,,,N,Y,
dow,Doyayo,1,1,L,4,,1988-1991,1979,N,Y,dow
dhv,Drehu,1,1,L,5,1890-2006,1868-1968,1859-1877,N,Y,
drt,Drents,,,L,3,,,1981,N,N,
duf,Drubea,1,1,L,1,,,,N,N,
duu,Drung,3,2,L,2,,,,N,Y,
dua,Duala,1,1,L,5,1872-1970,1861-1909,1848-1933,Y,Y,
dup,Duano,2,2,L,2,,,,N,N,
dva,Duau,1,1,L,3,,,1975,N,Y,
dub,Dubli,6,,L,4,,2017-2024,Yes,Y,Y,dub
ynl,Dubuporo,1,1,L,2,,,,N,N,
nke,Dughore,1,1,L,3,,,2024,N,Y,3948
ndu,Dugun,1,1,L,3,,,1982,N,Y,
dbm,Duguri,1,1,L,2,,,,N,Y,
dme,Dugwor,1,1,L,2,,,,N,Y,
kbz,Duhwa,1,1,L,3,,,Yes,N,Y,
duz,Duli-Gey,,,N,0,,,,N,N,
dbo,Dulubu,,,N,0,,,,N,N,
dma,Duma,1,1,L,3,,,Yes,N,Y,
agv,"Dumagat, Remontado",1,1,N,0,,,,N,N,
dus,Dumi,1,,L,3,,,2024,N,Y,
vam,Dumo,2,2,L,1,,,,N,Y,
dmv,Dumpas,1,1,L,0,,,,N,N,
dui,Dumun,,,L,1,,,,N,N,
duc,Duna,1,1,L,4,,1976,1968,Y,Y,
dng,Dungan,5,5,L,3,,,2002-2015,Y,N,
raa,Dungmali,2,,L,3,,,Yes,N,Y,
duh,"Dungra Bhil",14,,L,4,,2009,Yes,Y,Y,
dbv,Dungu,1,1,L,3,,,Yes,N,Y,
giw,Duoluo,1,1,N,2,,,,N,N,
drq,Dura,1,,N,0,,,,N,N,
mvp,Duri,1,1,L,4,,2005,1998,Y,Y,mvp
dbn,Duriankere,,,N,0,,,,N,Y,
krp,Durop,2,2,L,3,,,2024,N,Y,
pci,Duruwa,65,,L,4,,2019,2000-2003,Y,Y,
dsn,Dusner,,,N,0,,,,N,Y,
dun,"Dusun Deyah",1,1,L,2,,,,N,Y,
duq,"Dusun Malang",1,1,L,3,,,Yes,N,Y,
duw,"Dusun Witu",1,1,L,4,,2017,Yes,N,Y,
nld,Dutch,32,26,L,5,1525-2023,1480-1992,1477-2003,Y,Y,nld
dux,Duungooma,1,1,L,2,,,,N,N,
dae,Duupa,1,1,L,3,,,1982-2025,N,N,
duv,Duvle,1,1,L,1,,,,N,Y,
dbp,Duwai,1,1,L,2,,,,N,Y,
gve,Duwet,1,1,L,3,,,2012,N,N,
ldb,Duya,1,1,L,4,,2024,2011-2017,Y,Y,3978
nnu,Dwang,1,1,L,2,,,,N,Y,
dya,Dyan,1,1,L,4,,2024,2022,N,Y,
dyr,Dyarim,1,1,L,2,,,,N,N,
dbl,Dyirbal,,,N,0,,,,N,N,
jen,Dza,1,1,L,4,,Yes,2018,Y,Y,
dzl,Dzalakha,1,,L,3,,,Yes,N,Y,
dzn,Dzando,1,1,L,3,,,2024,N,N,
bpn,"Dzao Min",1,1,L,1,,,,N,Y,
dzo,Dzongkha,6,,L,5,2009-2010,2000-2007,1970,Y,Y,dzo
dnn,Dzuungoo,1,1,L,4,,2024,1997-2002,N,Y,dnn
eee,E,1,1,L,1,,,,N,N,
vmf,"Eastern Franconian",,,L,4,,2025,1992,N,N,
igb,Ebira,2,1,L,5,2014-2020,1981,1891-1960,Y,Y,igb
ebg,Ebughu,1,1,L,3,,,2024,N,N,4338
ecs,"Ecuadorian Sign Language",1,1,L,3,,,2023-2025,N,N,
cbj,"Ede Cabe",1,1,L,3,,,Yes,Y,Y,
ica,"Ede Ica",1,1,L,3,,,Yes,Y,Y,
idd,"Ede Idaca",1,1,L,4,,2019,Yes,Y,Y,
ijj,"Ede Ije",1,1,L,3,,,Yes,N,Y,
nqk,"Ede Nago, Kura",1,1,L,3,,,Yes,N,N,
bin,Edo,1,1,L,5,1996,1981,1914-1935,Y,Y,bin
etr,Edolo,1,1,L,3,,,1997-2025,N,Y,etr
dbf,Edopi,1,1,L,3,,,1997-2003,N,N,
efa,Efai,2,2,L,2,,,,N,N,
llp,"Efate, North",1,1,L,5,1908-1972,1912,1875-1892,Y,Y,llp
erk,"Efate, South",1,1,L,4,,1889-1930,1866-2011,N,Y,
efe,Efe,1,1,L,0,,,,N,Y,
efi,Efik,3,3,L,5,1868-2019,1862-1947,1850-1866,Y,Y,efi
ofu,Efutop,1,1,L,3,,,2022,N,Y,ofu
ega,Ega,1,1,L,2,,,,N,Y,
ego,Eggon,1,1,L,4,,1974,1935,Y,Y,ego
esl,"Egyptian Sign Language",1,1,L,3,,,2017-2023,N,N,
ehu,Ehueun,1,1,L,2,,,,N,N,
ail,Eibela,1,1,L,2,,,,N,N,
eit,Eitiep,1,1,L,2,,,,N,Y,
etu,Ejagham,2,2,L,4,,1996,1985,Y,Y,etu
dbi,Ejuele,1,1,L,3,,,Yes,N,Y,
eka,Ekajuk,1,1,L,4,,1971-2015,1970,Y,Y,eka
ekg,Ekari,1,1,L,4,,1963-1989,1955-1989,N,Y,ekg
guz,Ekegusii,1,1,L,5,1988-2021,1948-1975,1929-1967,Y,Y,guz
eki,Eki,1,1,L,3,,,2024,N,N,4339
eke,Ekit,1,1,L,3,,,Yes,N,N,
ekp,Ekpeye,1,1,L,2,,,,N,Y,
elh,"El Hugeirat",,,N,0,,,,N,N,
elo,"El Molo",,,N,2,,,,N,N,
alf,Elege,1,1,L,3,,,2022,N,Y,alf
elm,Eleme,1,1,L,4,,2001,1988,N,Y,
ele,Elepi,1,1,L,2,,,,N,N,
elk,Elkei,1,1,L,1,,,,N,Y,
mrf,Elseng,1,1,L,2,,,,N,Y,
elu,Elu,1,1,L,2,,,,N,N,
mmw,Emae,1,1,L,1,,,,N,N,
ema,Emai-Iuleha-Ora,1,1,L,3,,,1908-1910,Y,Y,
emn,Eman,1,1,L,1,,,,N,Y,
emb,Embaloh,1,1,L,4,,1998,Yes,N,Y,
emp,"Embera, Northern",2,2,L,4,,1988-2011,1972-2011,Y,Y,emp
bdc,Embera-Baudo,1,1,L,2,,,,N,Y,
cto,Embera-Catio,2,1,L,3,,,1975-2014,Y,Y,cto
cmi,Embera-Chami,1,1,L,4,,2021,1989-1994,N,Y,cmi
tdc,Embera-Tado,1,1,L,4,,2021,1999,N,Y,tdc
enr,Emem,1,1,L,2,,,,N,N,
egl,Emilian,,,L,3,,,1862,N,N,
emw,Emplawas,,,N,0,,,,N,N,
enc,En,1,1,L,2,,,,N,N,
pbh,"Enapa Woromaipu",1,1,L,4,,2002-2003,1984-1991,Y,N,
unk,Enawene-Nawe,1,1,L,1,,,,N,N,
end,Ende,1,1,L,3,,,2009,Y,Y,
enf,"Enets, Forest",,,N,0,,,,N,N,
enh,"Enets, Tundra",,,N,0,,,,N,N,
enq,Enga,1,1,L,4,,1979-2023,1965,Y,Y,enq
ngr,Engdewu,1,1,L,0,,,,N,N,
enn,Engenni,1,1,L,4,,1977,1968,N,Y,
eno,Enggano,1,1,L,4,,Yes,2022,Y,N,
eng,English,442,136,L,5,1382-2020,1380-2011,1530-1995,Y,Y,eng
enl,Enlhet,1,1,L,5,1995-2016,Yes,Yes,Y,Y,
ptt,Enrekang,1,1,L,3,,,2020,Y,N,
enu,Enu,1,1,L,1,,,,N,N,
enw,"Enwan (Nigeria, Akwa Ibom State)",1,1,L,3,,,2024,N,N,
env,"Enwan (Nigeria, Edo State)",1,1,L,3,,,2024,Y,Y,
enx,Enxet,1,1,L,5,2015,1992,Yes,Y,Y,enx
gey,Enya,1,1,L,2,,,,N,Y,
sja,Epena,3,3,L,4,,2005-2015,1991,N,Y,sja
epi,Epie,1,1,L,4,,2020,2017-2019,N,Y,
fpe,"Equatorial Guinean Pidgin",1,1,L,3,,,2023,Y,N,
era,Eravallan,,,L,2,,,,N,N,
twp,Ere,1,1,L,2,,,,N,Y,
erw,Erokwanas,1,1,L,2,,,,N,N,
emx,Erromintxela,,,N,0,,,,N,N,
ers,Ersu,4,1,L,0,,,,N,N,
erh,Eruwa,1,1,L,2,,,,N,Y,
myv,Erzya,10,10,L,4,,1824-2006,1821-1998,Y,N,myv
sfw,Esahie,2,2,L,5,2018-2019,2004-2006,1998,Y,Y,sfw
ish,Esan,1,1,L,3,,,1974-1975,N,Y,
mcq,Ese,1,1,L,4,,1975-2016,1966-1968,Y,Y,mcq
ese,"Ese Ejja",2,2,L,4,,1984-2012,1967-1981,Y,Y,ese
esh,Eshtehardi,,,L,0,,,,N,Y,
ags,Esimbi,2,2,L,4,,2021-2022,2007-2018,N,Y,ags
esy,Eskayan,,,N,0,,,,N,N,
epo,Esperanto,,,L,5,1926-2006,1900-1910,1910-1990,N,N,epo
esq,Esselen,,,N,0,,,,N,N,
sso,Essono,1,1,L,3,,,2011-2019,N,Y,
eso,"Estonian Sign Language",,,L,3,,,2021-2025,N,N,
ekk,"Estonian, Standard",10,10,L,5,1739-2014,1686-1989,1632-1991,Y,N,ekk
etb,Etebi,1,1,L,3,,,2024,N,N,4283
eth,"Ethiopian Sign Language",1,1,L,3,,,2011-2014,N,N,
ich,Etkywan,1,1,L,4,,2024,2016,Y,Y,3934
eto,"Eton (Cameroon)",1,1,L,3,,,2017,N,Y,
etn,"Eton (Vanuatu)",1,1,L,5,2019,Yes,Yes,N,Y,etn
ets,Etsako,1,1,L,4,,1997,1980,Y,Y,
utr,Etulo,1,1,L,4,,2023-2024,2014,Y,Y,utr
bzz,Evant,2,2,L,2,,,,N,Y,
eve,Even,1,1,L,3,,,1880-2025,N,Y,eve
evn,Evenki,6,2,L,3,,,1880-2023,N,Y,
gev,Eviya,1,1,L,0,,,,N,N,
nou,Ewage-Notu,1,1,L,4,,1987-2014,1930-1952,Y,Y,nou
ewe,Ewe,6,6,L,5,1911-2024,1990-2003,1988,Y,Y,ewe
ewo,Ewondo,2,1,L,5,1962-2012,1959-2012,1955-1957,Y,Y,ewo
ext,Extremaduran,1,1,L,0,,,,N,N,
eya,Eyak,,,N,0,,,,N,N,
eza,Ezaa,1,1,L,5,2014,1980-1993,Yes,Y,Y,eza
fab,"Fa d'Ambu",2,2,L,4,,2020-2021,2009,Y,N,
faf,Fagani,1,1,L,3,,,1904,N,N,
uve,Fagauvea,1,1,L,3,,,1903,N,N,
fif,Faifi,1,1,L,1,,,,N,N,
fai,Faiwol,1,1,L,4,,1995-2013,1969-1990,N,Y,fai
fax,Fala,1,1,L,4,,2015,Yes,N,N,
fli,"Fali Muchella",1,1,L,3,,,2017,Y,Y,
fll,"Fali, North",1,1,L,3,,,1971,N,Y,
fal,"Fali, South",1,1,L,4,,1975-2011,1974,N,Y,
fam,Fam,1,1,L,2,,,,N,N,
bjp,Fanamaket,1,1,L,4,,2012-2019,2011,Y,Y,bjp
fnb,Fanbak,1,1,L,2,,,,N,N,
fak,"Fang (Cameroon)",1,1,L,1,,,,N,Y,
fan,"Fang (Equatorial Guinea)",5,5,L,5,1951,2008-2014,2000,Y,Y,
fni,Fania,1,1,L,1,,,,N,N,
gur,Farefare,4,2,L,5,2007-2021,1986-2004,1962-2000,Y,Y,gur
fao,Faroese,2,2,L,5,1948-1988,1931-1937,1823-1931,Y,N,fao
faz,"Fars, Northwestern",1,1,L,0,,,,N,N,
fay,"Fars, Southwestern",1,1,L,0,,,,N,Y,
faa,Fasu,1,1,L,4,,1976-2013,1964,N,Y,faa
far,Fataleka,1,1,L,4,,2017,2015,Y,Y,far
ddg,Fataluku,2,1,L,3,,,2016,N,Y,
fau,Fayu,1,1,L,1,,,,N,N,
pdn,Fedan,1,1,L,0,,,,N,Y,
fmp,Fefe,1,1,L,3,,,1960,N,N,
agl,Fembe,1,1,L,2,,,,N,Y,
fer,Feroge,1,1,L,0,,,,N,N,
hif,"Fiji Hindi",3,3,L,4,,2002,Yes,Y,Y,hif
fij,Fijian,12,7,L,5,1864-2021,1847-1987,1839-1968,Y,Y,fij
wyy,"Fijian, Western",2,1,L,4,,Yes,2016,N,Y,
fil,Filipino,,,L,5,1905-2022,1902-1977,1898-1991,N,N,
psp,"Filipino Sign Language",1,1,L,3,,,2019-2025,N,N,
fss,"Finland-Swedish Sign Language",,,N,3,,,2016-2020,N,N,
fin,Finnish,12,11,L,5,1642-1995,1548-1976,1891-1986,Y,Y,fin
fse,"Finnish Sign Language",,,L,3,,,1989-2025,N,N,
fkv,"Finnish, Kven",1,1,N,0,,,,N,N,
fit,"Finnish, Tornedalen",2,2,L,3,,,1993-1995,N,N,
fag,Finongan,1,1,L,3,,,2005-2024,N,N,fag
fip,Fipa,1,1,L,4,,1988,Yes,N,Y,fip
fir,Firan,1,1,L,3,,,2024,N,Y,fir
fiw,Fiwaga,1,1,L,2,,,,N,N,
fly,Flaaitaal,,,N,0,,,,N,N,
vgt,"Flemish Sign Language",,,L,3,,,Yes,N,N,
flh,Foau,1,1,L,3,,,2022-2023,N,N,
foi,Foi,1,1,L,4,,1978,1961-1968,N,Y,
ffi,"Foia Foia",1,1,L,2,,,,N,N,
ppo,Folopa,1,1,L,4,,2005-2014,1978-1989,Y,Y,ppo
fom,Foma,2,2,L,0,,,,N,N,
fon,Fon,5,5,L,5,2011-2014,1994,1967,Y,Y,fon
fgr,Fongoro,1,1,N,0,,,,N,N,
fod,Foodo,2,2,L,3,,,1998,N,Y,
frq,Forak,1,1,L,1,,,,N,N,
frd,Fordata,1,1,L,4,,2016,1996-2004,Y,Y,frd
for,Fore,2,1,L,4,,1970-2013,1966-1969,Y,Y,for
fra,French,117,87,L,5,1478-2020,1474-1990,1483-1989,Y,Y,fra
sfb,"French Belgian Sign Language",1,1,L,1,,,,N,N,
fsl,"French Sign Language",2,2,L,3,,,2010-2011,N,Y,
frc,"French, Cajun",1,1,L,0,,,,N,Y,
fry,Frisian,2,2,L,5,1943-1995,1933,1755-1937,N,Y,
frr,"Frisian, Northern",2,2,L,4,,1870,1954-1955,N,N,frr
fur,Friulian,1,1,L,4,,1972,1860,N,N,fur
fub,"Fulfulde, Adamawa",7,6,L,5,1983-2023,1963-1964,1919-1966,Y,Y,fub
fui,"Fulfulde, Bagirmi",2,2,L,3,,,2023,Y,N,
fue,"Fulfulde, Borgu",2,2,L,5,2024,2010-2017,Yes,Y,Y,fue
fuq,"Fulfulde, Central-Eastern Niger",3,2,L,4,,2015,2006,N,Y,fuq
ffm,"Fulfulde, Maasina",4,3,L,4,,2005-2019,1934,Y,Y,ffm
fuv,"Fulfulde, Nigerian",3,3,L,4,,2007-2013,Yes,Y,Y,fuv
fuh,"Fulfulde, Western Niger",6,4,L,4,,2012-2018,2003-2005,Y,Y,fuh
flr,Fuliiru,1,1,L,5,2019,1999,1959-1991,Y,Y,flr
fuu,Fulu,2,2,L,3,,,2021,Y,Y,
bbd,Fulumu,1,1,L,3,,,2010-2017,N,N,
fum,Fum,,,L,2,,,,N,N,
ula,Fungwa,1,1,L,2,,,,N,Y,
fvr,Fur,4,3,L,4,,2025,2010,Y,Y,
fud,"Futuna, East",2,2,L,5,2000-2010,2000-2001,1991,N,N,fud
fut,Futuna-Aniwa,1,1,L,4,,1898,1869-1923,N,Y,fut
fuy,Fuyug,1,1,L,3,,,1931-1994,N,Y,
fwa,Fwai,1,1,L,1,,,,N,N,
fwe,Fwe,1,1,L,3,,,2016,Y,Y,
fie,Fyer,1,1,L,2,,,,N,Y,
gaa,Ga,3,3,L,5,1866-2020,1859-1977,1843-1966,Y,Y,gaa
gqa,Ga'anda,1,1,L,3,,,2013-2025,Y,Y,4349
gdg,"Ga'dang (Philippines)",1,1,L,4,,2000-2001,1976-1981,N,N,gdg
ttb,Gaa,1,1,L,3,,,Yes,N,Y,
tbi,Gaam,1,1,L,2,,,,N,N,
gbw,Gabi-Gabi,,,N,0,,,,N,N,
gab,Gabri,1,1,L,5,2023,2023-2024,2014-2017,N,Y,gab
gbj,"Gadaba, Bodo",14,,L,4,,2011,Yes,Y,N,
gau,"Gadaba, Mudhili",21,,L,4,,2019-2023,2016,Y,Y,gau
gdb,"Gadaba, Pottangi Ollar",12,,L,4,,2012,Yes,N,Y,
gdk,"Gadang (Chad)",1,1,L,0,,,,N,N,
gad,Gaddang,1,1,L,3,,,2020,Y,Y,
gbk,Gaddi,12,,L,5,2025,2017-2021,Yes,Y,Y,gbk
ged,Gade,1,1,L,2,,,,N,Y,
gdh,Gadjerawang,,,N,0,,,,N,N,
gaj,Gadsup,1,1,L,4,,1981,1968,Y,Y,
